class;precision;recall;f1-score
ang;0.6881067961165048;0.7509933774834437;0.7181760607979734
dis;0.5498652291105122;0.42411642411642414;0.4788732394366198
fea;0.5721784776902887;0.4532224532224533;0.5058004640371231
hap;0.5885286783042394;0.37579617834394907;0.4586977648202138
neu;0.5508166969147006;0.7132784958871915;0.6216077828981056
sad;0.5755478662053056;0.6653333333333333;0.6171923314780459
macro avg;0.5875072907235918;0.5637900437311325;0.5667246072446802
weighted avg;0.5902751071319307;0.5907247845919918;0.5818032553054375
