class;precision;recall;f1-score
ang;0.6005154639175257;0.7327044025157232;0.660056657223796
dis;0.40993788819875776;0.2075471698113208;0.2755741127348643
fea;0.4692737430167598;0.2641509433962264;0.3380281690140845
hap;0.5244444444444445;0.3710691823899371;0.4346224677716391
neu;0.3800813008130081;0.6900369003690037;0.490170380078637
sad;0.4903846153846154;0.6415094339622641;0.555858310626703
macro avg;0.4791062426291852;0.4845030054074125;0.4590516829082874
weighted avg;0.4816071412134734;0.4793121977431489;0.45826577277018604
