class;precision;recall;f1-score
ang;0.7023809523809523;0.7421383647798742;0.7217125382262995
dis;0.4478114478114478;0.41823899371069184;0.432520325203252
fea;0.5249042145593871;0.4308176100628931;0.4732297063903281
hap;0.5033333333333333;0.4748427672955975;0.48867313915857596
neu;0.5131578947368421;0.5756457564575646;0.5426086956521738
sad;0.5537190082644629;0.6320754716981132;0.5903083700440529
macro avg;0.540884475181071;0.5456264940007891;0.5415087957791138
weighted avg;0.5415847166001353;0.5448683503492746;0.5414810175448129
