class;precision;recall;f1-score
ang;0.7407407407407407;0.625;0.6779661016949152
bor;1.0;0.75;0.8571428571428571
dis;0.9166666666666666;1.0;0.9565217391304348
fea;0.7777777777777778;0.8235294117647058;0.7999999999999999
hap;0.5;0.5555555555555556;0.5263157894736842
neu;0.7307692307692307;0.95;0.8260869565217392
sad;0.9375;0.9375;0.9375
macro avg;0.8004934879934879;0.8059407096171801;0.7973619205662329
weighted avg;0.7882436110048051;0.7761194029850746;0.7757830960335098
