class;precision;recall;f1-score
neg;0.6301369863013698;0.7666666666666667;0.6917293233082706
not;0.7021276595744681;0.55;0.6168224299065421
macro avg;0.666132322937919;0.6583333333333334;0.6542758766074064
weighted avg;0.666132322937919;0.6583333333333333;0.6542758766074063
