class;precision;recall;f1-score
ang;0.6785714285714286;0.59375;0.6333333333333334
bor;0.9375;0.75;0.8333333333333334
dis;0.9090909090909092;0.9090909090909092;0.9090909090909092
fea;0.7777777777777778;0.8235294117647058;0.7999999999999999
hap;0.42857142857142855;0.5;0.4615384615384615
neu;0.7826086956521741;0.9;0.8372093023255814
sad;0.8823529411764706;0.9375;0.9090909090909092
macro avg;0.7709247401200268;0.7734100458365164;0.7690851783875041
weighted avg;0.7550045867362735;0.746268656716418;0.7472437778581479
