class;precision;recall;f1-score
neg;0.7368421052631579;0.7291666666666666;0.7329842931937173
not;0.6941176470588235;0.7023809523809523;0.6982248520710058
macro avg;0.7154798761609906;0.7157738095238095;0.7156045726323615
weighted avg;0.7169040247678018;0.7166666666666667;0.7167632206697852
