class;precision;recall;f1-score
neg;0.6930232558139535;0.745;0.7180722891566265
not;0.6604527296937417;0.6004842615012107;0.6290424857324033
macro avg;0.6767379927538476;0.6727421307506054;0.6735573874445149
weighted avg;0.6782898195733758;0.6796276013143483;0.6777992236427117
