class;precision;recall;f1-score
ang;0.7109144542772862;0.7578616352201258;0.7336377473363775
dis;0.4597315436241611;0.4308176100628931;0.4448051948051948
fea;0.5257352941176471;0.449685534591195;0.4847457627118644
hap;0.572463768115942;0.4968553459119497;0.531986531986532
neu;0.5394321766561514;0.6309963099630996;0.5816326530612246
sad;0.5376044568245125;0.6069182389937107;0.570162481536189
macro avg;0.5576469489359499;0.5621891124571623;0.5578283952395637
weighted avg;0.55810696736537;0.5604513702310586;0.5572272130162332
