class;precision;recall;f1-score
ang;0.5979899497487438;0.4327272727272728;0.5021097046413502
exc;0.4558823529411765;0.3675889328063241;0.4070021881838074
fru;0.4116719242902208;0.5711159737417943;0.4784601283226398
hap;0.25806451612903225;0.054421768707482984;0.0898876404494382
neu;0.4689507494646681;0.5152941176470588;0.4910313901345291
sad;0.5945017182130584;0.6431226765799256;0.6178571428571429
macro avg;0.4645102017978167;0.4307117903683098;0.4310580324314846
weighted avg;0.4737568759410829;0.4780941949616648;0.4643008742673245
