class;precision;recall;f1-score
ang;0.7102564102564103;0.7337748344370861;0.7218241042345277
dis;0.5450733752620545;0.5405405405405406;0.5427974947807933
fea;0.5668202764976958;0.5114345114345115;0.5377049180327871
hap;0.5542452830188679;0.3742038216560509;0.4467680608365017
neu;0.6033630069238378;0.7168037602820212;0.6552094522019335
sad;0.6207317073170732;0.6786666666666666;0.6484076433121019
macro avg;0.6000816765459899;0.5925706891694795;0.5921186122331075
weighted avg;0.6077397803740165;0.6117587430309174;0.6054632989796365
