class;precision;recall;f1-score
ang;0.6875;0.7333333333333333;0.7096774193548386
dis;0.6;0.8;0.6857142857142857
fea;0.625;0.3333333333333333;0.43478260869565216
hap;0.7272727272727273;0.5333333333333333;0.6153846153846153
neu;0.7878787878787878;0.8666666666666667;0.8253968253968254
sad;0.5833333333333334;0.4666666666666667;0.5185185185185186
sur;0.55;0.7333333333333333;0.6285714285714286
macro avg;0.651569264069264;0.6380952380952382;0.6311493859480235
weighted avg;0.6686079545454545;0.6666666666666666;0.6554303158791236
