class;precision;recall;f1-score
ang;0.6;0.84375;0.7012987012987012
bor;0.7692307692307693;0.5;0.6060606060606061
dis;0.4444444444444444;0.3636363636363637;0.4
fea;0.7777777777777778;0.4117647058823529;0.5384615384615384
hap;0.42857142857142855;0.16666666666666666;0.24
neu;0.5405405405405406;1.0;0.7017543859649124
sad;1.0;0.875;0.9333333333333332
macro avg;0.6515092800807086;0.5944025337407689;0.5887012235884416
weighted avg;0.6509016643345001;0.6343283582089553;0.6075002818600619
