class;precision;recall;f1-score
ang;0.75;0.8;0.7741935483870969
dis;0.6111111111111112;0.7333333333333333;0.6666666666666666
fea;0.8571428571428571;0.4;0.5454545454545455
hap;0.7272727272727273;0.5333333333333333;0.6153846153846153
neu;0.78125;0.8333333333333334;0.8064516129032259
sad;0.5333333333333333;0.5333333333333333;0.5333333333333333
sur;0.6666666666666666;0.9333333333333332;0.7777777777777778
macro avg;0.7038252422180994;0.6809523809523811;0.6741802999867517
weighted avg;0.713503336940837;0.7;0.690714214101311
