class;precision;recall;f1-score
ang;0.6521739130434783;0.4363636363636363;0.522875816993464
exc;0.5098039215686274;0.4110671936758893;0.4551422319474835
fru;0.42569659442724456;0.6017505470459519;0.4986400725294651
hap;0.125;0.013605442176870748;0.024539877300613498
neu;0.4798301486199576;0.5317647058823529;0.5044642857142858
sad;0.5836065573770491;0.6617100371747212;0.6202090592334495
macro avg;0.4626851891727262;0.4427102603865704;0.4376452239531268
weighted avg;0.4831131100739201;0.495618838992333;0.4773610448123992
