class;precision;recall;f1-score
ang;0.5483870967741935;0.4327272727272728;0.483739837398374
exc;0.37142857142857133;0.1541501976284585;0.21787709497206706
fru;0.3696551724137931;0.5864332603938731;0.4534686971235194
hap;0.0;0.0;0.0
neu;0.5055555555555555;0.4282352941176471;0.4636942675159236
sad;0.5059952038369304;0.7843866171003717;0.6151603498542274
macro avg;0.3835036000015073;0.3976554403279372;0.3723233744773519
weighted avg;0.4187755284341076;0.4485213581599124;0.4150792731122612
