class;precision;recall;f1-score
ang;0.7618421052631579;0.766887417218543;0.7643564356435644
dis;0.6106382978723405;0.5966735966735967;0.6035751840168244
fea;0.6428571428571429;0.5987525987525988;0.6200215285252961
hap;0.6020408163265306;0.4697452229299363;0.5277280858676208
neu;0.6391959798994975;0.7473560517038778;0.6890574214517876
sad;0.6538952745849298;0.6826666666666666;0.6679712981082845
macro avg;0.6517449361339331;0.6436802589908698;0.6454516589355629
weighted avg;0.6565081003423204;0.6581348200709579;0.6549464533211357
