class;precision;recall;f1-score
ang;0.6666666666666666;0.8;0.7272727272727272
dis;0.5384615384615384;0.4666666666666667;0.5
fea;0.625;0.6666666666666666;0.6451612903225806
hap;0.6923076923076923;0.6;0.6428571428571429
neu;0.5897435897435898;0.7666666666666667;0.6666666666666667
sad;0.6666666666666666;0.4;0.5
sur;0.5833333333333334;0.4666666666666667;0.5185185185185186
macro avg;0.6231684981684982;0.5952380952380951;0.6000680493768051
weighted avg;0.6189903846153847;0.6166666666666667;0.6083928765380378
