Dataset;Labeling;Preprocessing;Subset;Neighbors;Model score
Iemocap;Descrete basic emotions;Normalization;Train;25;0.3919313618108799
Iemocap;Descrete basic emotions;Normalization;Train;26;0.3913837166849215
Iemocap;Descrete basic emotions;Normalization;Train;27;0.3912011683096021
Iemocap;Descrete basic emotions;Normalization;Train;28;0.39521723256663016
Iemocap;Descrete basic emotions;Normalization;Train;29;0.39266155531215774
Iemocap;Descrete basic emotions;Normalization;Train;30;0.39156626506024095
Iemocap;Descrete basic emotions;Normalization;Train;31;0.3891931361810879
Iemocap;Descrete basic emotions;Normalization;Train;32;0.3828039430449069
Iemocap;Descrete basic emotions;Normalization;Train;33;0.3815261044176707
Iemocap;Descrete basic emotions;Normalization;Train;34;0.3807959109163929
Iemocap;Descrete basic emotions;Normalization;Train;35;0.37805768528660094
Iemocap;Descrete basic emotions;Normalization;Train;36;0.3758671047827674
Iemocap;Descrete basic emotions;Normalization;Train;37;0.3718510405257393
Iemocap;Descrete basic emotions;Normalization;Train;38;0.3705732018985031
Iemocap;Descrete basic emotions;Normalization;Train;39;0.3731288791529756
Iemocap;Descrete basic emotions;Normalization;Train;40;0.3749543629061701
Iemocap;Descrete basic emotions;Normalization;Train;41;0.3758671047827674
Iemocap;Descrete basic emotions;Normalization;Train;42;0.3720335889010588
Iemocap;Descrete basic emotions;Normalization;Train;43;0.3703906535231836
Iemocap;Descrete basic emotions;Normalization;Train;44;0.3720335889010588
Iemocap;Descrete basic emotions;Normalization;Train;45;0.3716684921504199
Iemocap;Descrete basic emotions;Normalization;Train;46;0.3702081051478642
Iemocap;Descrete basic emotions;Normalization;Train;47;0.3703906535231836
Iemocap;Descrete basic emotions;Normalization;Train;48;0.36893026652062794
Iemocap;Descrete basic emotions;Normalization;Train;49;0.3696604600219058
Iemocap;Descrete basic emotions;Normalization;Train;50;0.3672873311427528
Iemocap;Descrete basic emotions;Normalization;Train;51;0.36893026652062794
Iemocap;Descrete basic emotions;Normalization;Train;52;0.3656443957648777
Iemocap;Descrete basic emotions;Normalization;Train;53;0.3672873311427528
Iemocap;Descrete basic emotions;Normalization;Train;54;0.3643665571376415
Iemocap;Descrete basic emotions;Normalization;Train;55;0.36454910551296094
Iemocap;Descrete basic emotions;Normalization;Train;56;0.3634538152610442
Iemocap;Descrete basic emotions;Normalization;Train;57;0.3616283315078496
Iemocap;Descrete basic emotions;Normalization;Train;58;0.3607155896312523
Iemocap;Descrete basic emotions;Normalization;Train;59;0.3588901058780577
Iemocap;Descrete basic emotions;Normalization;Train;60;0.3625410733844469
Iemocap;Descrete basic emotions;Normalization;Train;61;0.35980284775465504
Iemocap;Descrete basic emotions;Normalization;Train;62;0.35980284775465504
Iemocap;Descrete basic emotions;Normalization;Train;63;0.3605330412559328
Iemocap;Descrete basic emotions;Normalization;Train;64;0.35815991237677985
Iemocap;Descrete basic emotions;Normalization;Train;65;0.3583424607520993
Iemocap;Descrete basic emotions;Normalization;Train;66;0.35815991237677985
Iemocap;Descrete basic emotions;Normalization;Train;67;0.3588901058780577
Iemocap;Descrete basic emotions;Normalization;Train;68;0.35706462212486306
Iemocap;Descrete basic emotions;Normalization;Train;69;0.3605330412559328
Iemocap;Descrete basic emotions;Normalization;Train;70;0.3592552026286966
Iemocap;Descrete basic emotions;Normalization;Train;71;0.35724717050018256
Iemocap;Descrete basic emotions;Normalization;Train;72;0.3583424607520993
Iemocap;Descrete basic emotions;Normalization;Train;73;0.3610806863818912
Iemocap;Descrete basic emotions;Normalization;Train;74;0.3605330412559328
Iemocap;Descrete basic emotions;Normalization;Train;75;0.35998539612997443
Iemocap;Descrete basic emotions;Standardization;Train;2;0.7124863088718509
Iemocap;Descrete basic emotions;Standardization;Train;3;0.6500547645125958
Iemocap;Descrete basic emotions;Standardization;Train;4;0.6150054764512596
Iemocap;Descrete basic emotions;Standardization;Train;5;0.5903614457831325
Iemocap;Descrete basic emotions;Standardization;Train;6;0.5797736400146039
Iemocap;Descrete basic emotions;Standardization;Train;7;0.5589631252281855
Iemocap;Descrete basic emotions;Standardization;Train;8;0.5522088353413654
Iemocap;Descrete basic emotions;Standardization;Train;9;0.5405257393209201
Iemocap;Descrete basic emotions;Standardization;Train;10;0.5334063526834611
Iemocap;Descrete basic emotions;Standardization;Train;11;0.5304855786783498
Iemocap;Descrete basic emotions;Standardization;Train;12;0.5250091274187659
Iemocap;Descrete basic emotions;Standardization;Train;13;0.517889740781307
Iemocap;Descrete basic emotions;Standardization;Train;14;0.5113179992698065
Iemocap;Descrete basic emotions;Standardization;Train;15;0.5153340635268346
Iemocap;Descrete basic emotions;Standardization;Train;16;0.5073019350127784
Iemocap;Descrete basic emotions;Standardization;Train;17;0.5043811610076671
Iemocap;Descrete basic emotions;Standardization;Train;18;0.5043811610076671
Iemocap;Descrete basic emotions;Standardization;Train;19;0.5031033223804308
Iemocap;Descrete basic emotions;Standardization;Train;20;0.5009127418765973
Iemocap;Descrete basic emotions;Standardization;Train;21;0.495618838992333
Iemocap;Descrete basic emotions;Standardization;Train;22;0.4970792259948886
Iemocap;Descrete basic emotions;Standardization;Train;23;0.49324571011318
Iemocap;Descrete basic emotions;Standardization;Train;24;0.4916027747353048
Iemocap;Descrete basic emotions;Standardization;Train;25;0.4925155166119021
Iemocap;Descrete basic emotions;Standardization;Train;26;0.4897772909821103
Iemocap;Descrete basic emotions;Standardization;Train;27;0.4886820007301935
Iemocap;Descrete basic emotions;Standardization;Train;28;0.4837531945965681
Iemocap;Descrete basic emotions;Standardization;Train;29;0.4828404527199708
Iemocap;Descrete basic emotions;Standardization;Train;30;0.4828404527199708
Iemocap;Descrete basic emotions;Standardization;Train;31;0.4833880978459292
Iemocap;Descrete basic emotions;Standardization;Train;32;0.4837531945965681
Iemocap;Descrete basic emotions;Standardization;Train;33;0.4833880978459292
Iemocap;Descrete basic emotions;Standardization;Train;34;0.4788243884629427
Iemocap;Descrete basic emotions;Standardization;Train;35;0.4788243884629427
Iemocap;Descrete basic emotions;Standardization;Train;36;0.4780941949616648
Iemocap;Descrete basic emotions;Standardization;Train;37;0.4733479372033589
Iemocap;Descrete basic emotions;Standardization;Train;38;0.4709748083242059
Iemocap;Descrete basic emotions;Standardization;Train;39;0.4689667761956919
Iemocap;Descrete basic emotions;Standardization;Train;40;0.470609711573567
Iemocap;Descrete basic emotions;Standardization;Train;41;0.4680540343190946
Iemocap;Descrete basic emotions;Standardization;Train;42;0.4680540343190946
Iemocap;Descrete basic emotions;Standardization;Train;43;0.4678714859437751
Iemocap;Descrete basic emotions;Standardization;Train;44;0.4678714859437751
Iemocap;Descrete basic emotions;Standardization;Train;45;0.4675063891931362
