dataset;method;preprocessing;subset;n_neighbors;score
SAVEE;binary;standardized;train;75;0.8694444444444445
SAVEE;first_try;normalized;test;75;0.5916666666666667
SAVEE;first_try;normalized;train;75;0.75
SAVEE;first_try;raw;test;75;0.5833333333333334
SAVEE;first_try;raw;train;75;0.7333333333333333
SAVEE;first_try;standardized;test;75;0.8
SAVEE;first_try;standardized;train;75;0.8555555555555555
TESS;base-multi;normalized;test;75;0.6342857142857142
TESS;base-multi;normalized;train;75;0.8198284080076264
TESS;base-multi;raw;test;75;0.6542857142857142
TESS;base-multi;raw;train;75;0.8164918970448046
TESS;base-multi;standardized;test;75;0.9785714285714284
TESS;base-multi;standardized;train;75;0.9814108674928504
TESS;binary;normalized;test;75;0.8428571428571429
TESS;binary;normalized;train;75;0.8918017159199237
TESS;binary;raw;test;75;0.8371428571428572
TESS;binary;raw;train;75;0.8836987607244995
TESS;binary;standardized;test;75;0.9928571428571428
TESS;binary;standardized;train;75;0.9933269780743564
TESS;first_try;normalized;test;75;0.8185714285714286
TESS;first_try;normalized;train;75;0.8913250714966635
TESS;first_try;raw;test;75;0.8214285714285714
TESS;first_try;raw;train;75;0.8889418493803622
TESS;first_try;standardized;test;75;0.9928571428571428
TESS;first_try;standardized;train;75;0.9909437559580552
