dataset;method;preprocessing;n_neighbors;subset;score
Iemocap;base-multi;normalized;44;train;0.3720335889010588
Iemocap;base-multi;normalized;45;train;0.3716684921504199
Iemocap;base-multi;normalized;46;train;0.3702081051478642
Iemocap;base-multi;normalized;47;train;0.3703906535231836
Iemocap;base-multi;normalized;48;train;0.36893026652062794
Iemocap;base-multi;normalized;49;train;0.3696604600219058
Iemocap;base-multi;normalized;50;train;0.3672873311427528
Iemocap;base-multi;normalized;51;train;0.36893026652062794
Iemocap;base-multi;normalized;52;train;0.3656443957648777
Iemocap;base-multi;normalized;53;train;0.3672873311427528
Iemocap;base-multi;normalized;54;train;0.3643665571376415
Iemocap;base-multi;normalized;55;train;0.36454910551296094
Iemocap;base-multi;normalized;56;train;0.3634538152610442
Iemocap;base-multi;normalized;57;train;0.3616283315078496
Iemocap;base-multi;normalized;58;train;0.3607155896312523
Iemocap;base-multi;normalized;59;train;0.3588901058780577
Iemocap;base-multi;normalized;60;train;0.3625410733844469
Iemocap;base-multi;normalized;61;train;0.35980284775465504
Iemocap;base-multi;normalized;62;train;0.35980284775465504
Iemocap;base-multi;normalized;63;train;0.3605330412559328
Iemocap;base-multi;normalized;64;train;0.35815991237677985
Iemocap;base-multi;normalized;65;train;0.3583424607520993
Iemocap;base-multi;normalized;66;train;0.35815991237677985
Iemocap;base-multi;normalized;67;train;0.3588901058780577
Iemocap;base-multi;normalized;68;train;0.35706462212486306
Iemocap;base-multi;normalized;69;train;0.3605330412559328
Iemocap;base-multi;normalized;70;train;0.3592552026286966
Iemocap;base-multi;normalized;71;train;0.35724717050018256
Iemocap;base-multi;normalized;72;train;0.3583424607520993
Iemocap;base-multi;normalized;73;train;0.3610806863818912
Iemocap;base-multi;normalized;74;train;0.3605330412559328
Iemocap;base-multi;normalized;75;train;0.35998539612997443
Iemocap;base-multi;standardized;2;train;0.7124863088718509
Iemocap;base-multi;standardized;3;train;0.6500547645125958
Iemocap;base-multi;standardized;4;train;0.6150054764512596
Iemocap;base-multi;standardized;5;train;0.5903614457831325
Iemocap;base-multi;standardized;6;train;0.5797736400146039
Iemocap;base-multi;standardized;7;train;0.5589631252281855
Iemocap;base-multi;standardized;8;train;0.5522088353413654
